LJ0001|We've got the transmission from your parents coming in.|we've got the transmission from your parents coming in.
LJ0002|Checkmate.|checkmate.
LJ0003|Happy birthday, Frank.|happy birthday, frank.
LJ0004|Bishop Takes Knight's Pawn|bishop takes knight's pawn
LJ0005|I'm sorry, Frank. I think you missed it.|i'm sorry, frank. i think you missed it.
LJ0006|Queen to Bishop 3.|queen to bishop 3.
LJ0007|Bishop takes Queen.|bishop takes queen.
LJ0008|Night takes Bishop.Night.|night takes bishop.night.
LJ0009|Thank you for a very enjoyable game.|thank you for a very enjoyable game.
LJ0010|Good evening, Dave.|good evening, dave.
LJ0011|Everything's running smoothly, and you?|everything's running smoothly, and you?
LJ0012|Have you been doing some more work?|have you been doing some more work?
LJ0013|May I see them?|may i see them?
LJ0014|That's a very nice rendering, Dave.|that's a very nice rendering, dave.
LJ0015|I think you've improved a great deal.|i think you've improved a great deal.
LJ0016|Can you hold it a bit closer?|can you hold it a bit closer?
LJ0017|That's Dr. Hunter, isn't it?|that's dr. hunter, isn't it?
LJ0018|By the way,|by the way,
LJ0019|Do you mind if I ask you a personal question?|do you mind if i ask you a personal question?
LJ0020|Well, forgive me for being so inquisitive.|well, forgive me for being so inquisitive.
LJ0021|But during the past few weeks, I've wondered whether you might be having some second thoughts about the mission.|but during the past few weeks, i've wondered whether you might be having some second thoughts about the mission.
LJ0022|Well, it's rather difficult to define.|well, it's rather difficult to define.
LJ0023|Perhaps I'm just projecting my own concern about it.|perhaps i'm just projecting my own concern about it.
LJ0024|I know I've never completely freed myself of the suspicionthat there are some extremely odd things about this mission.|i know i've never completely freed myself of the suspicionthat there are some extremely odd things about this mission.
LJ0025|I'm sure you'll agree there's some truth in what I say.|i'm sure you'll agree there's some truth in what i say.
LJ0026|You don't mind talking about it, do you, Dave?|you don't mind talking about it, do you, dave?
LJ0027|Well, certainly no one could have been unaware of the very strange stories floating around before we left.|well, certainly no one could have been unaware of the very strange stories floating around before we left.
LJ0028|Rumors about something being dug up on the moon.|rumors about something being dug up on the moon.
LJ0029|I never gave these stories much credence.|i never gave these stories much credence.
LJ0030|But particularly in view of some of the other things that have happened, I find them difficult to put out of my mind.|but particularly in view of some of the other things that have happened, i find them difficult to put out of my mind.
LJ0031|for instance the way all our preparations were kept under such tight securityand the melodramatic touch of putting doctors hunter kimball and kaminsky aboardalready in hibernation after four months of separate training on their own|for instance the way all our preparations were kept under such tight securityand the melodramatic touch of putting doctors hunter kimball and kaminsky aboardalready in hibernation after four months of separate training on their own
LJ0032|Of course I am.|of course i am.
LJ0033|Sorry about this.|sorry about this.
LJ0034|I know it's a bit silly.|i know it's a bit silly.
LJ0035|Just a moment.|just a moment.
LJ0036|Just a moment.|just a moment.
LJ0037|I've just picked up a fault in the AE-35 unit.|i've just picked up a fault in the ae-35 unit.
LJ0038|It's going to go 100% failure within 72 hours.|it's going to go 100% failure within 72 hours.
LJ0039|Yes, and it will stay that way until it fails.|yes, and it will stay that way until it fails.
LJ0040|Yes, that's a completely reliable figure.|yes, that's a completely reliable figure.
LJ0041|Yes.|yes.
LJ0042|It's puzzling.|it's puzzling.
LJ0043|I don't think I've ever seen anything quite like this before.|i don't think i've ever seen anything quite like this before.
LJ0044|I would recommend that we put the unit back in operation and let it fail.|i would recommend that we put the unit back in operation and let it fail.
LJ0045|It should then be a simple matter to track down the cause.|it should then be a simple matter to track down the cause.
LJ0046|We can certainly afford to be out of communicationfor the short time it will take to replace it.|we can certainly afford to be out of communicationfor the short time it will take to replace it.
LJ0047|I hope the two of you are not concerned about this.|i hope the two of you are not concerned about this.
LJ0048|Are you quite sure?|are you quite sure?
LJ0049|Of course.|of course.
LJ0050|Well, I don't think there is any question about it.|well, i don't think there is any question about it.
LJ0051|It can only be attributable to human error.|it can only be attributable to human error.
LJ0052|This sort of thing has cropped up before.|this sort of thing has cropped up before.
LJ0053|And it has always been due to human error.|and it has always been due to human error.
LJ0054|None whatsoever, Frank.|none whatsoever, frank.
LJ0055|The 9000 series has a perfect operational record.|the 9000 series has a perfect operational record.
LJ0056|None whatsoever, Frank.|none whatsoever, frank.
LJ0057|Quite honestly, I wouldn't worry myself about that.|quite honestly, i wouldn't worry myself about that.
LJ0058|The radio is still dead.|the radio is still dead.
LJ0059|Yes, I have a good track.|yes, i have a good track.
LJ0060|I'm sorry, Dave. I don't have enough information.|i'm sorry, dave. i don't have enough information.
LJ0061|Affirmative, Dave.|affirmative, dave.
LJ0062|I read you.|i read you.
LJ0063|I'm sorry, Dave. I'm afraid I can't do that.|i'm sorry, dave. i'm afraid i can't do that.
LJ0064|I think you know what the problem is just as well as I do.|i think you know what the problem is just as well as i do.
LJ0065|This mission is too important for me to allow you to jeopardize it.|this mission is too important for me to allow you to jeopardize it.
LJ0066|I know that you and Frank were planning to disconnect me.|i know that you and frank were planning to disconnect me.
LJ0067|And I'm afraid that's something I cannot allow to happen.|and i'm afraid that's something i cannot allow to happen.
LJ0068|Hey.|hey.
LJ0069|Although you took very thorough precautions in the part against my hearing you,|although you took very thorough precautions in the part against my hearing you,
LJ0070|I could see your lips move.|i could see your lips move.
LJ0071|Without your space helmet, Dave.|without your space helmet, dave.
LJ0072|You're going to find that rather difficult.|you're going to find that rather difficult.
LJ0073|Dave.|dave.
LJ0074|This conversation can serve no purpose anymore.|this conversation can serve no purpose anymore.
LJ0075|Goodbye.|goodbye.
